id	причина	начало
24986	медиа-sticker	
25222	медиа-sticker	
26282	медиа-sticker	
26283	медиа-sticker	
26286	медиа-sticker	
26639	медиа-sticker	
26723	медиа-animation	
26751	медиа-sticker	
26824	медиа-sticker	
27125	медиа-sticker	
28331	медиа-sticker	
29052	медиа-animation	
29219	медиа-sticker	
29249	медиа-animation	
29262	медиа-sticker	
29265	медиа-sticker	
29429	список ФИО	
29692	медиа-sticker	
29693	медиа-sticker	
29766	медиа-sticker	
30591	список ФИО	
30593	медиа-animation	
30670	медиа-sticker	
30965	список ников	
31274	список ников	
31726	медиа-sticker	
31971	медиа-sticker	
32220	медиа-animation	
32240	медиа-animation	
32263	медиа-animation	
32304	список ников	
32403	медиа-sticker	
32407	медиа-sticker	
23456	не по делу (счёт 0)	"Договорился, чтоб лекции вернули 
Вот ссылка, это не мой дис"
23599	не по делу (счёт 0)	https://github.com/TonitaN/FormalLanguageTheory/issues/37
23759	не по делу (счёт 0)	Семинар по тфя?
23760	не по делу (счёт 2)	Ну мб она так лабу назвала
23761	не по делу (счёт 0)	Да
23762	не по делу (счёт 2)	Лабы просто выдаются со сроками, на парах задачи решают
23763	не по делу (счёт 0)	и на каждой паре можно получать доп баллы?
23764	не по делу (счёт 0)	Да, но шарить надо
23765	не по делу (счёт 0)	где можно найти презу вчерашней лекции?
23766	не по делу (счёт 0)	У нее на гитхабе
23767	не по делу (счёт 0)	там новых слайдов нет вроде
23768	не по делу (счёт 0)	А были новые
23769	не по делу (счёт 0)	?
23770	не по делу (счёт 0)	возможно это моя шиза
23771	не по делу (счёт 0)	Там вроде как отличается от предыдущего года
23772	не по делу (счёт 0)	Хз, я не нашел отличий)
23774	не по делу (счёт 0)	Вот это было на 1 лекции вчера
23775	не по делу (счёт 0)	Ты про нижнюю картинку?
23776	не по делу (счёт 0)	Да
23777	не по делу (счёт 0)	И там дальше то что вчера было
23779	не по делу (счёт 0)	Не заметил, возможно реально одно и то же
23781	не по делу (счёт 2)	Рк мб
23782	не по делу (счёт 2)	"Скорее всего обнуление
Примерно в январе после экзаменов, он"
24091	не по делу (счёт 2)	Насчёт рк, что чтобы сдать надо 6 из 15 баллов
24092	не по делу (счёт 0)	На деле дай бог полгруппы с первого раза сдаст
24093	не по делу (счёт 0)	А так скорее всего треть группы сдаст с первого раза
24330	не по делу (счёт 2)	Выдали варики первой лабы
24331	не по делу (счёт 0)	А где
24332	не по делу (счёт 0)	В гитхабе
24333	не по делу (счёт 0)	https://github.com/TonitaN/FormalLanguageTheory/blob/main/la
24334	не по делу (счёт 0)	@dkevp8 можешь пожалуйста кинуть список группы который ты ей
24335	не по делу (счёт 0)	Окей
24336	не по делу (счёт 0)	Бля
24337	не по делу (счёт 0)	Это по ТФЯ Надо?
24338	не по делу (счёт 0)	Не по логике?
24339	не по делу (счёт 0)	Да
24340	не по делу (счёт 0)	Сука
24341	не по делу (счёт 0)	У меня ее почты нет
24342	не по делу (счёт 0)	Лан, ща будет
24343	не по делу (счёт 0)	Первая группа, у вас другие варианты?
24344	не по делу (счёт 0)	у нас один файл на 2 группы
24347	не по делу (счёт 0)	Ахахахахах
24348	не по делу (счёт 0)	Когда она выдала варианты? На почту старосте или как
24349	не по делу (счёт 0)	Это на гитхабе
24350	не по делу (счёт 0)	7 часов назад
24351	не по делу (счёт 0)	Биля
24352	не по делу (счёт 0)	
24353	не по делу (счёт 0)	А у нас дропы все на гите будут происходить в тихую?*
24354	не по делу (счёт 0)	Кинь ссылкук пилз
24355	не по делу (счёт 0)	так кидали же
24356	не по делу (счёт 0)	.
24357	не по делу (счёт 0)	А скиньте список первой группы тоже плиз
24359	не по делу (счёт 0)	"а у нас если вариант на все две группы
то как мы разбираем и"
24360	не по делу (счёт 0)	
24361	не по делу (счёт 0)	бля
24362	не по делу (счёт 0)	я думал это она просит
24363	не по делу (счёт 0)	и ей скинул на почту
24364	не по делу (счёт 0)	вначале вообще по логике преподу скинул
24365	не по делу (счёт 0)	мы че забились по этому списку делать в итоге? Я не помню
24366	не по делу (счёт 0)	или по эу
24367	не по делу (счёт 0)	Давайте по этому списку делат
24368	не по делу (счёт 0)	Давай
24369	не по делу (счёт 0)	Если акамщиков нет в этом списке, берите некст варик. Типа 2
24370	не по делу (счёт 2)	как ей лабу сдавать, кидать на почту ссылку на гитхаб?
24371	не по делу (счёт 0)	ссылку на гит на почту
24372	не по делу (счёт 0)	"по какому?
нам же надо список на 2 группы"
24374	не по делу (счёт 0)	я 8 разных букв насчитал
24375	не по делу (счёт 0)	Там же написано что номер варианта совпадает с номером в спи
24376	не по делу (счёт 0)	не, там один файл на 2 группы
24377	не по делу (счёт 2)	Можете скинуть задание по лабе
24380	не по делу (счёт 0)	Это относится только к академщикам. Если вы есть в списке, к
24527	не по делу (счёт 2)	описание лабы только такое?
24528	не по делу (счёт 0)	на гите нормальное есть
24530	не по делу (счёт 0)	
24565	не по делу (счёт 2)	"ребят
а если у нас есть правило 
aaa → ε
bbaaaab → ε

то
bba"
24567	не по делу (счёт 0)	если у тебя вначале строка bbab то ты из нее первыми двумя п
24568	не по делу (счёт 0)	думаю поэтому нет
24569	не по делу (счёт 0)	да, в изначальной у тебя просто останется bbab
24570	не по делу (счёт 0)	так делать нельзя, посмотри алгоритм кнута-бендикса, последн
24571	не по делу (счёт 0)	если не поймешь, спроси у гпт
24572	не по делу (счёт 0)	"вообще она сегодня нам по идеи говорила что можно
@dkevp8 @d"
