kind	pages	chars	txt	pdf
TEXT	4	2112	FormalLanguageTheory_2021_labs_lab4undead_hard.txt	references\teacher\FormalLanguageTheory\2021\labs\lab4undead_hard.pdf
TEXT	4	2479	FormalLanguageTheory_2021_labs_lab_4dead.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_4dead.pdf
TEXT	6	4089	FormalLanguageTheory_2021_labs_lab_4undead_easy.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_4undead_easy.pdf
TEXT	6	2691	FormalLanguageTheory_2021_labs_lab_tfl1.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_tfl1.pdf
TEXT	7	3704	FormalLanguageTheory_2021_labs_lab_tfl2.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_tfl2.pdf
TEXT	8	4901	FormalLanguageTheory_2021_labs_lab_tfl3.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_tfl3.pdf
TEXT	9	5147	FormalLanguageTheory_2021_labs_lab_tfl4.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_tfl4.pdf
TEXT	25	20064	FormalLanguageTheory_2021_labs_lab_tfl5.txt	references\teacher\FormalLanguageTheory\2021\labs\lab_tfl5.pdf
TEXT	12	14396	FormalLanguageTheory_2021_rk_Big_Pharma.txt	references\teacher\FormalLanguageTheory\2021\rk\Big_Pharma.pdf
TEXT	9	8827	FormalLanguageTheory_2021_rk_questions_tfl_1.txt	references\teacher\FormalLanguageTheory\2021\rk\questions_tfl_1.pdf
TEXT	18	18233	FormalLanguageTheory_2021_rk_rk1_homework_v1.txt	references\teacher\FormalLanguageTheory\2021\rk\rk1_homework_v1.pdf
TEXT	35	21742	FormalLanguageTheory_2021_rk_rk1_tfl.txt	references\teacher\FormalLanguageTheory\2021\rk\rk1_tfl.pdf
TEXT	10	6187	FormalLanguageTheory_2021_rk_rk2_homework.txt	references\teacher\FormalLanguageTheory\2021\rk\rk2_homework.pdf
TEXT	20	10431	FormalLanguageTheory_2021_rk_rk2_tfl.txt	references\teacher\FormalLanguageTheory\2021\rk\rk2_tfl.pdf
TEXT	36	14363	FormalLanguageTheory_2021_slides_lect_tfl_1.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_1.pdf
TEXT	54	20721	FormalLanguageTheory_2021_slides_lect_tfl_10.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_10.pdf
TEXT	32	14046	FormalLanguageTheory_2021_slides_lect_tfl_11.txt	references\teacher\FormalLanguageTheory\2021\slides\lect_tfl_11.pdf
